transaction_id,customer_id,timestamp_seconds,hour_of_day,day_of_week,is_weekend,is_night,amount,avg_amount_30d,amount_to_avg_ratio,customer_age,customer_tenure_days,account_balance,income_band,merchant_category,merchant_id,transaction_type,card_present,device_type,num_transactions_last_1h,num_transactions_last_24h,minutes_since_last_transaction,distance_from_home_km,distance_from_last_transaction_km,is_foreign_transaction,ip_address_risk_score,failed_pin_attempts_24h,is_fraud
12,9171,160,0,0,0,1,32.3,25.48,1.268,69,1463,218.19,2,health,96821,chip,1,android,0,1,1.7,1.84,31.54,0,0.058,1,0
13,24426,164,0,0,0,1,16.17,51.56,0.314,80,1004,1929.1,3,health,75450,contactless,1,pos_terminal,0,6,20.8,3.46,3.58,0,0.043,0,0
14,23242,174,0,0,0,1,25.8,34.79,0.742,51,1915,1331.78,2,gaming,54927,swipe,1,ios,0,3,184.3,5.15,8.14,0,0.202,0,0
15,47534,182,0,0,0,1,35.78,18.28,1.957,63,12,765.67,2,travel,27463,contactless,1,android,0,5,212.6,1.34,4.02,0,0.206,0,0
16,5862,183,0,0,0,1,31.43,40.68,0.773,56,2704,362.18,1,gaming,97811,contactless,1,unknown,1,2,169.2,0.02,1.01,0,0.247,0,0
17,15635,199,0,0,0,1,12.97,7.59,1.709,62,300,125.04,3,gaming,75930,online,0,web_mobile,0,0,16,0.91,0.53,0,0.17,0,0
18,43734,254,0,0,0,1,46.8,30.47,1.536,51,3527,746.73,1,crypto_exchange,87437,manual_entry,0,web_desktop,1,3,266.1,17.67,7.39,0,0.227,0,0
19,11052,298,0,0,0,1,27.49,93.54,0.294,80,3194,949.56,4,electronics,31240,online,0,android,0,3,233.8,7.35,4.2,0,0.422,0,0
20,17536,362,0,0,0,1,4.92,15.88,0.31,24,1631,730.06,2,gaming,31301,chip,1,web_desktop,0,5,348.7,19.02,3.93,0,0.13,0,0
21,34365,375,0,0,0,1,22.28,9.15,2.435,74,1922,176.34,1,travel,62767,online,0,android,0,4,32.2,19.4,2.86,0,0.776,0,0
22,2674,405,0,0,0,1,21.37,23.29,0.918,80,560,1162.13,4,jewelry,99890,online,0,web_mobile,0,4,676.2,13.28,14.24,0,0.913,0,0
23,16452,407,0,0,0,1,51.61,45.53,1.134,72,1414,1322.38,4,crypto_exchange,49649,chip,1,web_mobile,0,5,163.9,16.56,7.14,0,0.059,0,0
24,26417,414,0,0,0,1,10.82,18.7,0.579,53,1139,1013.91,1,fuel,70980,swipe,1,ios,1,7,69,15.12,3.47,0,0.197,0,0
25,8408,426,0,0,0,1,22.36,47.8,0.468,19,2345,2464.59,3,online_retail,62119,chip,1,web_desktop,1,5,278.2,8.85,20.37,0,0.019,0,0
26,10466,428,0,0,0,1,29,37.43,0.775,39,3439,2425.85,1,gaming,67378,contactless,1,ios,0,6,683.6,20.69,10.6,0,0.051,0,0
27,46721,484,0,0,0,1,249.33,114.3,2.181,38,3974,3072.79,5,money_transfer,33498,contactless,1,ios,0,4,547.2,35.99,10.38,0,0.064,0,0
28,32318,497,0,0,0,1,48.83,43.38,1.126,69,1397,889.6,2,restaurant,66640,swipe,1,android,1,9,40.9,11.89,12.32,0,0.291,0,0
29,1306,509,0,0,0,1,10.23,26.3,0.389,35,2221,247.77,4,gambling,16344,chip,1,android,0,4,613.3,5.21,35.85,0,0,0,0
30,38252,537,0,0,0,1,138.08,49.65,2.781,41,396,2294.52,3,crypto_exchange,21210,manual_entry,0,web_desktop,1,2,310.9,28.55,11.52,0,0.517,1,0
31,18456,543,0,0,0,1,19.82,28.19,0.703,70,2011,1651.65,1,money_transfer,66628,swipe,1,android,0,3,45.5,29.42,4.8,0,0.132,0,0
32,16523,574,0,0,0,1,27.77,32.93,0.843,23,3105,1171.65,2,travel,47360,swipe,1,android,2,9,304.8,2.62,18.44,0,0.206,0,0
33,13693,596,0,0,0,1,6.83,16.81,0.406,32,1793,913.04,2,online_retail,84287,online,0,pos_terminal,0,7,8.4,0.03,5.01,0,0.557,0,0
34,24715,622,0,0,0,1,14.62,26.84,0.545,33,2385,1403.48,4,restaurant,46421,online,0,web_mobile,1,4,138,48.26,9.3,0,0.155,0,0
35,13069,649,0,0,0,1,16.07,12,1.339,48,273,86.41,2,travel,68521,online,0,pos_terminal,0,6,29.4,41.77,17.87,0,0.178,0,0
36,7104,668,0,0,0,1,44.23,26.05,1.698,36,2205,247.06,2,money_transfer,55354,online,0,unknown,1,6,189.3,11.37,32.65,0,0.616,1,0
37,12707,682,0,0,0,1,19.29,49.27,0.392,47,2903,1185.67,5,fuel,98740,contactless,1,unknown,1,7,142.3,25.92,8.7,0,0.055,0,0
38,32262,697,0,0,0,1,9.63,10.97,0.878,58,3138,621.28,2,gaming,61050,contactless,1,pos_terminal,0,7,156.1,27.38,7.25,0,0.236,0,0
39,16880,699,0,0,0,1,37.97,43.13,0.88,65,2870,942.52,5,grocery,88635,online,0,ios,0,1,171.9,19.63,5.07,0,0.402,0,0
40,27395,719,0,0,0,1,52.18,46.21,1.129,41,118,1116.73,1,money_transfer,94642,atm_withdrawal,1,web_desktop,0,3,289.2,8.72,6.36,0,0.184,0,0
41,11792,727,0,0,0,1,5.25,23.75,0.221,37,146,693.92,2,crypto_exchange,27280,manual_entry,0,ios,1,5,334.1,37.29,3.01,0,0.247,0,1
42,5691,727,0,0,0,1,37.03,26.24,1.411,57,3768,1096.47,5,entertainment,29966,contactless,1,web_desktop,0,4,464.2,41.51,0.54,0,0.064,0,0
43,39870,772,0,0,0,1,135.79,47.97,2.831,84,3281,412.31,3,grocery,46069,chip,1,ios,1,4,26.8,2.35,0.7,0,0.294,0,0
44,47222,776,0,0,0,1,166.48,59,2.822,79,1669,404.45,4,jewelry,33580,contactless,1,web_mobile,1,2,20.9,5.81,7.89,0,0.015,0,0
45,14425,813,0,0,0,1,19.68,15.35,1.282,62,2173,502.91,4,gambling,43190,online,0,android,1,6,395.9,15.52,34.48,0,0.846,0,0
46,44388,827,0,0,0,1,36.03,35.6,1.012,31,1213,1453.96,3,gambling,63971,contactless,1,ios,0,7,50.8,18.8,4.84,0,0.028,0,0
47,34273,830,0,0,0,1,16.44,52.92,0.311,62,624,527.88,5,jewelry,72654,chip,1,unknown,1,3,282.4,7.33,3.7,0,0.081,0,0
48,15524,843,0,0,0,1,42.03,56.77,0.74,68,2610,1417.05,4,grocery,11661,atm_withdrawal,1,ios,0,2,77.1,42.71,1.41,0,0.185,0,0
49,20570,845,0,0,0,1,88.23,42.78,2.062,40,66,2498,2,money_transfer,27405,contactless,1,web_desktop,0,7,147.2,37.12,1.05,0,0.024,0,0
50,32854,845,0,0,0,1,19.76,88.5,0.223,42,1125,2515.63,1,utilities,98423,atm_withdrawal,1,web_mobile,1,3,16.1,4.07,1.57,0,0.289,0,0
51,32104,856,0,0,0,1,29.25,24.92,1.174,61,3760,1284.22,1,utilities,53362,atm_withdrawal,1,ios,0,3,8.9,0.48,6.16,0,0.079,0,0
52,43584,866,0,0,0,1,25.72,22.04,1.167,69,3065,119.27,4,entertainment,52258,online,0,pos_terminal,1,1,249.8,4.18,2.29,0,0.006,1,0
53,25391,880,0,0,0,1,30.29,27.59,1.098,72,1333,1363.66,1,crypto_exchange,62147,online,0,pos_terminal,1,7,17.8,6.74,1.24,0,0.533,0,0
54,8011,902,0,0,0,1,7.67,13.39,0.573,30,3538,175.33,1,restaurant,36576,online,0,web_desktop,0,2,105.9,39.94,24.44,0,0.776,0,0
55,1112,918,0,0,0,1,7.91,14.86,0.532,30,914,148.47,5,grocery,88047,online,0,ios,1,2,334.4,6.99,0.01,0,0.962,0,0
56,22947,984,0,0,0,1,31.26,10.53,2.969,23,3718,555.05,5,utilities,41879,atm_withdrawal,1,pos_terminal,0,3,646.6,29.6,13.5,0,0.225,0,0
57,18599,1004,0,0,0,1,73.79,27.36,2.697,24,18,853.05,4,electronics,59576,online,0,web_desktop,1,4,239.6,22.16,10.65,0,0.072,0,0
58,32763,1030,0,0,0,1,11.77,21.36,0.551,40,965,324.55,3,clothing,85823,online,0,web_desktop,0,5,96.3,3.37,0.44,0,0.306,0,0
59,46580,1048,0,0,0,1,50.97,57.04,0.894,71,2373,428.12,4,money_transfer,31101,chip,1,pos_terminal,0,1,517.3,21.57,1.11,0,0.062,0,0
60,42836,1065,0,0,0,1,164.93,64.75,2.547,24,3125,3141.72,3,electronics,93445,contactless,1,android,0,6,229.2,7.09,1.93,0,0.088,0,0
61,11957,1080,0,0,0,1,11.93,7.61,1.568,28,1999,448.7,4,electronics,44919,online,0,ios,1,9,562.6,18.57,6.18,0,0.202,0,0
62,46205,1091,0,0,0,1,74.79,93.05,0.804,68,3459,925.04,2,entertainment,80745,contactless,1,web_mobile,0,3,80.4,17.84,0.41,0,0.084,0,0
63,6099,1118,0,0,0,1,43.64,38.18,1.143,34,3742,945.21,1,entertainment,85476,chip,1,unknown,1,4,743.2,1.8,4.55,0,0.121,0,0
64,11576,1195,0,0,0,1,45.88,55.33,0.829,70,991,2676.87,1,utilities,16340,contactless,1,ios,0,3,48.3,51.63,1.48,0,0.207,2,0
65,26095,1198,0,0,0,1,8.98,9.79,0.917,58,2085,296.17,3,gaming,47934,online,0,web_mobile,1,7,194.9,7.05,2.11,0,0.146,0,0
66,48461,1238,0,0,0,1,34.76,34.65,1.003,19,2757,372.62,2,health,54923,contactless,1,pos_terminal,0,2,227.8,9.97,28.21,0,0.255,0,0
67,14643,1261,0,0,0,1,216.32,65.21,3.317,20,515,4071.25,3,electronics,31823,online,0,web_desktop,0,3,322.7,12.58,10.64,0,0.197,0,0
68,18465,1307,0,0,0,1,61.66,35.85,1.72,58,3072,771.7,2,crypto_exchange,50861,online,0,android,0,6,92.2,10.31,1.63,0,0.749,0,0
69,8946,1324,0,0,0,1,64.53,19.28,3.347,23,3336,533.31,3,clothing,51564,chip,1,pos_terminal,0,4,923.6,3.44,2.21,0,0.063,0,0
70,31034,1326,0,0,0,1,30.99,15.32,2.023,26,2843,991.15,4,restaurant,46658,swipe,1,web_desktop,0,7,387.2,23.37,3.73,0,0.29,0,0
71,10760,1334,0,0,0,1,6.38,10.2,0.625,31,2772,135.12,4,grocery,30549,contactless,1,android,2,4,28.6,11.44,2.77,0,0.105,0,0
72,11817,1351,0,0,0,1,32.27,21.65,1.491,37,1655,839.94,1,crypto_exchange,89298,chip,1,pos_terminal,0,3,886.2,4.6,16.38,0,0.294,1,0
73,19673,1359,0,0,0,1,37.17,29.18,1.274,29,2489,1234.38,2,grocery,27218,contactless,1,web_desktop,0,7,65,0.93,20.17,0,0.185,0,0
74,31628,1369,0,0,0,1,34.7,51.92,0.668,83,1223,2616.24,5,health,68151,online,0,pos_terminal,0,5,303.5,20.07,3.05,0,0.122,0,0
75,19086,1390,0,0,0,1,18.08,37.21,0.486,50,813,1203.07,5,travel,36485,manual_entry,0,android,0,4,321,2.38,2.55,0,0.37,0,0
76,25922,1392,0,0,0,1,51.46,35.21,1.462,78,275,893.34,2,jewelry,81799,chip,1,web_mobile,0,2,225,1.1,10.43,0,0.161,0,0
77,25194,1395,0,0,0,1,52.72,31.63,1.667,75,3211,2157.28,2,crypto_exchange,26667,contactless,1,web_mobile,1,4,218.6,13.09,15.95,0,0.158,0,0
78,3126,1397,0,0,0,1,37.13,39.58,0.938,73,2478,1465.32,3,gaming,24526,manual_entry,0,unknown,0,5,663.1,9.72,9.24,0,0.325,0,0
79,30932,1401,0,0,0,1,28.41,26.92,1.055,58,1586,1077.16,1,entertainment,92279,contactless,1,web_desktop,0,3,408,41.82,24.78,0,0.278,0,0
80,8673,1410,0,0,0,1,19.69,28.47,0.692,19,416,358.84,4,grocery,80218,online,0,web_mobile,0,9,73.7,15.88,0.87,0,0.396,0,0
81,16829,1425,0,0,0,1,56.29,52.21,1.078,23,3732,1329.54,5,travel,26762,online,0,web_desktop,0,4,110.6,4.82,7.92,0,0.648,0,0
82,17723,1436,0,0,0,1,30.97,35.78,0.866,43,1826,772.82,5,online_retail,95741,contactless,1,web_desktop,1,5,484.6,2.89,0.63,0,0.17,0,0
83,15491,1458,0,0,0,1,261.67,64.12,4.081,57,1648,2948.79,4,restaurant,64089,online,0,web_desktop,0,5,468,14.72,5.22,0,0,0,0
84,8339,1480,0,0,0,1,19.84,7.66,2.59,48,3932,52.38,5,travel,81869,manual_entry,0,unknown,1,4,326.6,1.6,2.3,0,0.78,0,0
85,7631,1505,0,0,0,1,5.33,15.97,0.334,44,2279,429.76,3,clothing,50869,contactless,1,android,1,2,20.7,18,3.42,0,0.174,0,0
86,4875,1507,0,0,0,1,21.09,16.52,1.277,62,1736,103.37,5,online_retail,35830,swipe,1,android,0,3,83.3,3.35,3.31,0,0.112,0,0
87,28654,1515,0,0,0,1,43.44,42.41,1.024,39,108,1712.28,5,money_transfer,85858,swipe,1,pos_terminal,0,7,276.8,4.39,4.28,0,0.142,0,0
88,18042,1521,0,0,0,1,125.27,41.58,3.013,35,226,1623.62,2,crypto_exchange,91910,contactless,1,unknown,0,4,12.9,3.3,36.01,0,0.061,0,0
89,38968,1532,0,0,0,1,8.52,18.47,0.461,56,3918,634.56,5,electronics,70584,swipe,1,web_mobile,1,7,97,13.09,0.7,0,0.25,0,0
90,33090,1552,0,0,0,1,14.39,38.22,0.377,28,2008,1575.94,2,health,24599,online,0,android,0,7,54,10.64,15.39,0,0.264,0,0
91,41298,1555,0,0,0,1,55.26,49.12,1.125,22,3382,1925.28,1,electronics,36829,swipe,1,ios,0,7,302.4,37.15,5.5,0,0.064,0,0
92,39047,1569,0,0,0,1,42.28,64.39,0.657,50,3202,3221.05,5,travel,90879,contactless,1,ios,0,3,16.5,22.99,7.46,0,0.053,0,0
93,17229,1583,0,0,0,1,59.76,53.66,1.114,25,2615,2680.98,2,clothing,28563,contactless,1,android,0,3,286.8,6.27,22.23,0,0.269,0,0
94,22512,1584,0,0,0,1,22.9,21.77,1.052,69,2815,675.09,3,utilities,28055,online,0,unknown,0,6,4.3,53.45,15.69,0,0.691,0,0
95,40823,1584,0,0,0,1,57.61,120.09,0.48,25,1978,6482,5,jewelry,50179,contactless,1,web_mobile,0,2,357.4,21.71,0.5,0,0.226,0,0
96,10091,1642,0,0,0,1,67.77,76.58,0.885,84,3915,3248.33,1,restaurant,46524,online,0,web_desktop,0,6,306.6,18.36,0.69,0,0.131,0,0
97,8685,1647,0,0,0,1,14.97,41.23,0.363,56,1521,1191.42,1,utilities,55662,swipe,1,android,0,2,689.8,0.24,8.91,0,0.22,0,0
98,40733,1659,0,0,0,1,36.88,34.23,1.077,26,930,420.75,5,health,75650,contactless,1,web_desktop,0,1,176.7,25.8,11.14,0,0.038,0,0
99,40247,1660,0,0,0,1,18.06,40.82,0.442,63,882,1617.43,4,health,72221,online,0,web_desktop,1,4,109.9,14.01,2.32,0,0.119,0,0
100,25024,1723,0,0,0,1,18.6,26.79,0.694,50,448,219.52,4,utilities,87890,contactless,1,web_desktop,0,2,509.4,2.81,4.52,0,0.206,0,0
101,40225,1725,0,0,0,1,66.25,17.12,3.87,41,1146,471.12,3,clothing,73387,swipe,1,ios,1,6,16.2,9.02,4.22,0,0.04,0,0
102,38812,1725,0,0,0,1,85.74,91.06,0.942,68,2484,1845.18,4,utilities,93580,atm_withdrawal,1,ios,0,5,130,7.01,25.59,0,0.013,0,0
103,16842,1751,0,0,0,1,140.01,49.35,2.837,19,1372,2013.52,4,online_retail,14793,swipe,1,unknown,0,3,144.9,20.28,59.74,0,0.297,1,0
104,36269,1769,0,0,0,1,49.66,42.51,1.168,82,2402,1909.47,4,entertainment,40925,online,0,unknown,1,7,41.7,31.02,25.27,0,0.647,0,0
105,16408,1793,0,0,0,1,84.12,39.98,2.104,78,3841,1324.74,1,travel,48028,chip,1,android,0,3,421.3,4.67,11.79,0,0.151,0,0
106,6415,1828,0,0,0,1,7.85,39.68,0.198,22,3873,229.07,1,electronics,99086,chip,1,android,0,6,110,14.78,4.23,0,0.228,0,0
107,22644,1839,0,0,0,1,24.51,34.05,0.72,77,2190,241.49,5,gambling,79324,online,0,web_mobile,0,5,408,11.66,2.75,0,0.037,0,1
108,14033,1865,0,0,0,1,20.45,45.24,0.452,43,1092,1041.94,4,jewelry,65865,swipe,1,pos_terminal,1,6,749.1,31.39,54.76,0,0.162,0,0
109,42079,1868,0,0,0,1,24.11,34.65,0.696,47,3777,2151.7,2,electronics,72674,online,0,web_mobile,0,3,566.1,29.7,31.02,0,0.012,0,0
110,44551,1888,0,0,0,1,57.27,20.98,2.73,79,2109,1015.61,3,restaurant,85742,online,0,ios,1,8,174.5,0.05,40.99,0,0.031,0,0
111,6016,1941,0,0,0,1,38.65,42.38,0.912,40,3435,435.55,2,money_transfer,38917,online,0,pos_terminal,2,9,101,1.5,13.1,0,0.446,0,0
112,39964,1985,0,0,0,1,35.73,17.22,2.075,63,2472,920.56,3,jewelry,50864,swipe,1,android,1,5,329.9,33.18,4.5,0,0.188,0,0
113,38924,1986,0,0,0,1,371.76,178.2,2.086,24,3929,4899.08,5,electronics,35414,online,0,ios,1,4,146.1,5.83,18.49,0,0.716,0,0
114,725,1988,0,0,0,1,11.91,6.74,1.767,25,700,378.2,1,gambling,89368,atm_withdrawal,1,android,0,2,207.7,40.71,0.4,0,0.162,0,0
115,14740,2011,0,0,0,1,17.62,35.89,0.491,51,3953,1205.33,5,gaming,47365,online,0,ios,0,2,167.4,2.82,0.78,0,0.52,0,0
116,23999,2015,0,0,0,1,108.32,132.83,0.815,59,790,841.43,4,clothing,19261,online,0,android,1,6,87.5,40.89,4.64,0,0.602,0,0
117,46783,2026,0,0,0,1,59.25,29.67,1.997,27,3796,366.3,1,gaming,39221,manual_entry,0,web_desktop,1,7,57.3,16.22,47.68,0,0.733,0,0
118,33097,2061,0,0,0,1,22,22.55,0.976,32,268,750.25,4,crypto_exchange,54169,online,0,unknown,0,0,70,0.63,4.18,0,0.083,0,0
119,38930,2072,0,0,0,1,64.12,89.06,0.72,67,3528,1229.03,3,gambling,17874,chip,1,web_desktop,0,4,31.6,3.16,16.45,0,0.261,0,0
120,28433,2080,0,0,0,1,47.26,24.93,1.896,76,3480,304.88,3,crypto_exchange,79948,atm_withdrawal,1,android,1,5,383.6,5.44,10.41,0,0.117,0,0
121,3508,2090,0,0,0,1,39.36,25.15,1.565,21,3489,581.05,4,money_transfer,15837,atm_withdrawal,1,pos_terminal,0,4,167.1,11.71,29.11,0,0.073,0,0
122,21542,2098,0,0,0,1,32.67,61.08,0.535,47,3020,1298.87,4,travel,91574,contactless,1,unknown,0,3,67.7,0.47,5.24,0,0.153,0,0
123,26218,2115,0,0,0,1,9.26,26.95,0.344,62,3329,137.08,5,restaurant,85780,chip,1,android,1,8,221.6,9.86,0.44,0,0.146,1,0
124,37494,2121,0,0,0,1,101.74,117.57,0.865,56,2353,2744.37,4,utilities,95994,contactless,1,web_desktop,0,2,220.5,27.19,1.45,0,0.016,0,0
125,47845,2125,0,0,0,1,33.19,29.5,1.125,51,103,986.02,3,restaurant,21764,online,0,web_desktop,0,0,365.5,14.77,53.74,0,0.845,0,0
126,6761,2146,0,0,0,1,9.75,34.98,0.279,37,2458,1371.77,2,money_transfer,31836,chip,1,web_mobile,0,5,1328.7,7.08,27.23,0,0.083,0,0
127,36408,2149,0,0,0,1,29.49,18.28,1.613,65,3801,795.87,1,electronics,78654,online,0,pos_terminal,0,4,181.5,4.18,0.99,0,0.358,0,0
128,45569,2187,0,0,0,1,8.92,16.15,0.552,40,137,820.23,1,entertainment,23321,manual_entry,0,unknown,0,4,200.5,0.7,3.03,0,0.581,0,0
129,46993,2238,0,0,0,1,80.78,59.8,1.351,33,1670,2548.33,1,travel,17015,swipe,1,web_mobile,0,2,195.2,3.01,0.52,0,0.173,0,0
130,30660,2248,0,0,0,1,36.84,35.78,1.03,46,1896,1185.61,3,travel,38419,online,0,ios,0,6,92.2,2.02,19.4,0,0.247,0,0
131,37124,2251,0,0,0,1,14.87,28.52,0.521,80,1054,834.32,2,clothing,93323,online,0,unknown,1,6,63.3,15.78,2.82,0,0.234,0,0
132,44490,2272,0,0,0,1,14.83,14.54,1.02,80,3653,227.08,5,health,35097,manual_entry,0,android,0,3,473.6,9.44,12.98,0,0.413,0,0
133,18259,2319,0,0,0,1,17.15,16.01,1.071,61,2505,283.89,3,electronics,78808,chip,1,pos_terminal,0,5,105.5,25.28,2.65,0,0.226,1,0
134,47885,2336,0,0,0,1,177.54,54.07,3.284,19,57,730.71,2,money_transfer,67713,contactless,1,web_desktop,0,5,250.9,18.34,2.08,0,0.124,0,0
135,30812,2356,0,0,0,1,62.01,46.21,1.342,56,2969,441.91,5,jewelry,34002,online,0,unknown,0,7,450.6,3.36,6.53,0,0.827,0,0
136,29489,2357,0,0,0,1,22.67,34.01,0.667,80,612,601.16,2,online_retail,85504,online,0,web_desktop,0,7,24.6,56.48,0.31,0,0.483,0,0
137,34537,2369,0,0,0,1,30.34,27.14,1.118,70,3015,170.19,5,jewelry,19097,chip,1,pos_terminal,1,6,386.2,11.71,57.55,0,0.117,0,0
138,104,2407,0,0,0,1,32.01,76.93,0.416,71,3298,3175.77,2,electronics,82449,manual_entry,0,ios,0,3,60.7,39.11,2.04,0,0.202,0,0
139,5098,2408,0,0,0,1,11.15,46.88,0.238,80,380,1573.95,2,clothing,50927,chip,1,unknown,0,9,118.5,2.56,1.27,0,0.216,0,0
140,4050,2430,0,0,0,1,223.23,78.56,2.842,39,1792,2930.5,2,travel,41933,chip,1,unknown,0,5,456.7,5.88,10.33,0,0.23,0,0
141,19329,2492,0,0,0,1,116.19,56.12,2.07,23,1610,2478.32,3,gambling,57359,online,0,pos_terminal,0,5,87.7,5.72,45.64,0,0.379,0,0
142,40941,2525,0,0,0,1,30.6,17.86,1.713,67,1748,527.2,2,grocery,29887,chip,1,web_mobile,0,3,53.9,0.83,5.42,0,0.102,0,0
143,46379,2527,0,0,0,1,29.82,30.77,0.969,82,2194,371.53,5,gambling,71018,contactless,1,pos_terminal,0,3,275.3,0.42,5,0,0.133,0,0
144,32731,2544,0,0,0,1,174.24,115.78,1.505,20,1459,1698.2,2,gaming,78778,chip,1,web_desktop,0,2,306.6,7.88,3.64,0,0.013,0,0
145,3752,2555,0,0,0,1,173.26,55.38,3.129,82,2456,2828.98,4,money_transfer,20572,online,0,unknown,1,6,370.3,27.52,1.84,0,0.271,0,0
146,24443,2573,0,0,0,1,12.22,27.3,0.448,52,1476,961.35,4,jewelry,48067,contactless,1,ios,2,6,100.5,0.82,4.21,0,0.144,0,0
147,6173,2595,0,0,0,1,39.07,26.81,1.457,31,1082,1281.67,3,utilities,77909,online,0,pos_terminal,0,5,766.4,11.24,5.52,0,0.944,0,0
148,25739,2600,0,0,0,1,29.08,9.82,2.961,29,389,200.76,2,online_retail,59733,chip,1,web_mobile,1,2,194.2,8,2.18,0,0.067,0,0
149,43841,2622,0,0,0,1,52.81,77.79,0.679,34,1310,4167.75,2,entertainment,99741,manual_entry,0,android,0,7,59.9,20.84,23.23,0,0.874,1,0
150,17050,2630,0,0,0,1,7.88,9.67,0.815,21,308,235.47,1,travel,95555,chip,1,web_desktop,1,6,292.2,47.88,0.36,0,0.22,1,0
151,4446,2640,0,0,0,1,6.54,30.33,0.216,38,1305,437.03,5,entertainment,23791,online,0,web_mobile,0,5,349.2,1.87,7.36,0,0.127,0,0
152,4982,2644,0,0,0,1,16.19,32.14,0.504,30,1699,821.53,3,health,49879,swipe,1,web_desktop,0,7,31.3,20.72,17.47,0,0.227,0,0
153,12069,2648,0,0,0,1,9.16,12.71,0.721,84,2852,684.71,3,health,48598,contactless,1,android,0,9,817,17.8,23.39,0,0.189,0,0
154,26369,2656,0,0,0,1,6.36,12.85,0.495,57,860,200.14,5,money_transfer,10268,contactless,1,android,0,10,284.3,3.7,18.68,0,0,0,0
155,34867,2658,0,0,0,1,34.78,86.12,0.404,40,2392,3504.21,5,fuel,56693,contactless,1,pos_terminal,0,6,148.2,20.5,27.69,0,0.031,0,0
156,26519,2660,0,0,0,1,89.55,30.99,2.89,78,1414,1385.96,3,clothing,68545,swipe,1,ios,0,5,167.4,23.24,3.07,0,0.087,0,0
157,44513,2664,0,0,0,1,13.39,12.59,1.064,59,528,674.35,3,crypto_exchange,14824,contactless,1,android,0,6,12.1,4.37,16.68,0,0.3,0,0
158,11492,2671,0,0,0,1,33.21,20.81,1.596,18,6,655.24,1,electronics,35969,contactless,1,web_desktop,1,4,206.9,7,2.4,0,0.147,0,0
159,138,2678,0,0,0,1,20.96,18.9,1.109,41,3896,676.96,3,money_transfer,22535,chip,1,web_mobile,0,3,127.9,23.79,4.27,0,0.108,0,0
160,16006,2699,0,0,0,1,3.84,10.95,0.351,44,301,591.58,2,utilities,17556,online,0,ios,0,1,395.1,3.65,5.12,0,0.188,0,0
161,31740,2719,0,0,0,1,5.66,20.43,0.277,41,2774,762.03,5,restaurant,28537,chip,1,unknown,1,5,32.1,10.35,7.79,0,0.099,0,0
162,16374,2729,0,0,0,1,7.83,30.64,0.256,62,2788,702.36,4,fuel,58416,contactless,1,android,0,5,155.4,33.34,29.05,0,0.109,0,0
163,26606,2735,0,0,0,1,48.32,36.65,1.318,24,2772,1070.09,4,health,10900,contactless,1,unknown,1,6,30.1,30.31,3.11,0,0.183,0,0
164,6121,2741,0,0,0,1,4.55,11.81,0.385,58,1826,77.92,2,clothing,22662,chip,1,web_desktop,0,4,625,1.73,2.68,0,0.287,0,0
165,43406,2752,0,0,0,1,23.26,46.92,0.496,47,3008,795.2,3,clothing,38037,contactless,1,pos_terminal,1,5,472.6,9.82,13.66,0,0.12,0,0
